GeneID	GSM6311037	GSM6311038	GSM6311039	GSM6311040	GSM6311041	GSM6311042	GSM6311043	GSM6311044	GSM6311045
100287102	1	2	1	1	1	0	0	0	1
653635	354	367	369	372	360	317	362	256	260
102466751	8	3	5	5	11	12	11	3	4
107985730	0	0	0	0	1	1	2	0	0
100302278	0	0	0	0	1	0	0	0	0
645520	0	0	0	0	0	0	0	0	0
79501	0	0	0	0	0	0	0	0	0
100996442	27	28	37	33	14	18	15	15	13
729737	465	435	716	693	154	155	220	92	82
102725121	0	1	1	1	0	0	0	2	0
102723897	365	364	432	360	359	332	357	288	248
102465909	1	1	2	3	3	5	7	2	0
107985721	1	0	0	0	1	2	3	0	0
112268260	7	4	6	6	12	9	12	2	5
729759	0	0	0	0	2	0	0	0	0
100132287	111	99	159	140	101	102	133	31	26
105378947	1	1	6	0	2	6	4	1	1
101928626	0	0	0	0	0	0	0	0	0
113219467	403	380	437	452	445	502	487	102	106
81399	1	1	1	0	3	1	2	1	1
100133331	74	55	97	91	131	124	161	14	14
107984841	22	24	34	35	28	38	66	6	5
107984847	22	19	37	30	31	47	51	5	6
107984849	6	8	18	18	11	19	16	3	2
100288069	33	28	28	33	45	53	60	18	14
105378580	11	8	15	8	19	23	30	9	6
400728	4	1	3	4	13	21	14	2	4
79854	19	29	42	37	20	27	32	12	11
643837	229	264	155	169	218	224	195	321	330
107984850	0	0	0	0	0	0	0	0	1
284593	1	0	1	0	1	1	1	0	0
284600	0	4	5	2	8	12	15	0	0
100130417	4	1	3	0	23	25	32	2	0
107985728	6	3	13	7	42	38	49	2	5
148398	413	405	316	285	543	518	571	512	547
26155	6897	6917	5424	4539	5155	4736	5378	7649	8127
339451	327	343	472	436	367	390	411	160	128
84069	190	189	179	143	211	196	206	161	158
84808	37	24	30	16	22	24	17	28	19
57801	306	345	501	475	553	553	643	144	178
9636	270	284	494	428	177	195	165	317	286
375790	8304	8224	9300	7764	23402	22121	24575	6130	6290
100288175	37	44	46	39	43	47	31	26	27
112267874	15	19	25	21	20	24	23	19	11
105378948	41	48	71	69	32	58	36	24	29
401934	81	78	43	43	70	72	61	57	60
54991	377	369	300	271	448	406	416	262	298
254099	0	0	0	0	0	2	0	0	0
406984	0	3	2	0	4	2	3	0	0
406983	0	0	0	0	3	9	5	0	1
554210	9	8	4	4	10	18	16	2	1
100506376	0	1	1	1	0	0	0	0	0
254173	9	12	3	8	1	3	3	1	3
8784	0	0	0	1	2	4	1	0	0
7293	1	0	1	0	0	0	0	0	0
51150	2452	2499	2406	2063	3162	2723	2981	2377	2621
126792	493	504	345	255	755	682	743	528	569
388581	4	3	17	16	15	12	21	2	0
118424	1929	1825	1594	1395	1395	1224	1375	2017	2049
101928895	10	8	12	15	21	24	30	1	0
6339	10	5	28	34	13	23	27	4	5
116983	485	474	500	432	470	496	512	219	234
